id,name,destination,cost_estimate,duration_hours,tags,description
14,Kusma (Khimti) Bungee & Canyon Swing,Pokhara,3500.0,1.5,"bungee,adrenaline,seasonal,thrill",Nearby bungee jump and canyon swings for adrenaline seekers; operator safety certifications recommended.
13,Seasonal Hot Air Balloon (Lake & Mountain Views),Pokhara,8000.0,1.0,"hotairballoon,seasonal,scenic,photography",Occasional hot-air balloon operations over the Pokhara valley in clear-season windows; book early and follow safety briefings.
12,Tandem Paragliding from Sarangkot,Pokhara,8000.0,1.0,"paragliding,adrenaline,sky,seasonal",World-famous tandem paragliding flights (weather dependent) with certified pilots; ideal for sunrise flights.
11,Responsible Volunteer Half-Day Experience,Kathmandu,1000.0,4.0,"volunteer,community,responsible,learning","Half-day volunteering with a registered local NGO (education, clean-up projects) — pre-book and check requirements."
10,Evening Cultural Dance Show & Workshop,Kathmandu,700.0,2.0,"culture,dance,performance,workshop",Attend a short traditional dance performance followed by a participatory workshop run by local performers.
9,Photography & Conservation Walk,Kathmandu,1000.0,2.5,"photography,nature,conservation,walking",Guided nature photography walk focusing on respectful wildlife and habitat viewing practices.
8,Chandragiri Cable Car + Short Hike,Kathmandu,1000.0,3.0,"cablecar,hike,viewpoint,nature",Cable car ride with a short ridge walk and picnic; seasonal winds may affect operations.
7,Culinary Street Food Responsible Tour,Kathmandu,900.0,2.5,"food,tour,streetfood,culinary",Small-group evening tour sampling local specialties with hygiene-conscious vendors and allergy-aware guidance.
6,Guided Rock Climbing Intro (Local Crags),Kathmandu,3500.0,4.0,"climbing,adventure,skills,safety",Introductory climbing session with certified guides on accessible crags near the valley. Safety gear provided.
5,Thamel Bike Rental & Self-Guided City Loop,Kathmandu,2500.0,6.0,"rental,bike,self-guided,urban",Short-term bike rental for self-guided exploration on mixed city roads; includes helmet and basic safety briefing.
4,Rooftop Yoga & Sunrise Session,Kathmandu,900.0,1.0,"wellness,yoga,sunrise,relax",Early-morning yoga overlooking the valley and distant Himalaya (seasonal clear-sky mornings). Responsible instructor-led class.
3,City Mountain Biking (Nagarjun Trails),Kathmandu,3500.0,4.0,"biking,offroad,adventure,outdoors",Half-day guided mountain-bike trip on safe marked trails around Nagarjun and Shivapuri ridgelines. Helmet recommended.
2,Heritage Walking & Responsible Cultural Workshop,Kathmandu,700.0,3.0,"culture,walking,workshop,community","Guided walking tour of old city with a short hands-on cultural workshop led by local artisans. Low-impact, community-led."
1,Heritage Walk,Kathmandu,700.0,3.0,"culture,history,city",Guided walk through Durbar Square
